Customer_ID,Customer_Name,Gender,Phone,City
C001,Aarav Pawar,Male,9433218196,Bengaluru
C002,Aditya Shetty,Male,9389083863,Ballari
C003,Nikita Sharma,Female,9265423511,Tumakuru
C004,Yash Nair,Male,9940781618,Belagavi
C005,Harini Shetty,Female,9103413164,Ballari
C006,Nisha Nair,Female,9534192832,Ballari
C007,Megha Kumar,Female,9835030564,Mysuru
C008,Tejas Desai,Male,9537672423,Davanagere
C009,Anusha Desai,Female,9696532871,Bengaluru
C010,Rohan Kumar,Male,9269166978,Belagavi
C011,Lokesh Pawar,Male,9184514627,Bengaluru
C012,Asha Soni,Female,9281489325,Hubballi
C013,Shrey Iyer,Male,9701543039,Mysuru
C014,Suresh Yadav,Male,9182278248,Udupi
C015,Kavya Bhat,Female,9346578713,Mangaluru
C016,Harsh Sharma,Male,9983930103,Mysuru
C017,Ravi Iyer,Male,9183473829,Udupi
C018,Shruti Yadav,Female,9631165667,Bengaluru
C019,Vivaan Joshi,Male,9513338726,Hubballi
C020,Ishita Naik,Female,9178108013,Hubballi
C021,Swati Yadav,Female,9360260647,Belagavi
C022,Pallavi Pawar,Female,9872343098,Bengaluru
C023,Ananya Patel,Female,9978820812,Mysuru
C024,Lokesh Naik,Male,9619399091,Tumakuru
C025,Rashmi Rao,Female,9353462475,Mysuru
C026,Akash Mishra,Male,9911838425,Mysuru
C027,Yash Kulkarni,Male,9278498084,Mysuru
C028,Nikhil Verma,Male,9182449353,Belagavi
C029,Megha Patel,Female,9164005242,Ballari
C030,Deepa Sharma,Female,9112805982,Tumakuru
C031,Vivaan Kulkarni,Male,9505331586,Udupi
C032,Tejas Naik,Male,9226025634,Hubballi
C033,Ritvik Patel,Male,9733754330,Mangaluru
C034,Neha Rao,Female,9145868501,Belagavi
C035,Abhishek Rao,Male,9019655698,Mysuru
C036,Vaishnavi Desai,Female,9340608835,Tumakuru
C037,Lokesh Iyer,Male,9951484656,Belagavi
C038,Rahul Mehta,Male,9629946804,Belagavi
C039,Siddharth Desai,Male,9957773872,Mysuru
C040,Asha Chauhan,Female,9951343320,Bengaluru
C041,Pranav Mishra,Male,9176936763,Hubballi
C042,Ashwin Soni,Male,9163287083,Mysuru
C043,Aditi Singh,Female,9889579868,Ballari
C044,Megha Soni,Female,9348734714,Mangaluru
C045,Neha Iyer,Female,9812236231,Tumakuru
C046,Neha Bhat,Female,9760366909,Tumakuru
C047,Priya Nair,Female,9466889373,Belagavi
C048,Swati Sharma,Female,9656272980,Tumakuru
C049,Aditya Kumar,Male,9627204653,Ballari
C050,Neha Soni,Female,9646417080,Shivamogga
C051,Manjunath Gupta,Male,9003309232,Ballari
C052,Abhishek Shetty,Male,9745299124,Mysuru
C053,Tejas Kulkarni,Male,9966319314,Udupi
C054,Deepak Desai,Male,9058651850,Tumakuru
C055,Pooja Mehta,Female,9572628498,Ballari
