Driver_ID,Driver_Name,Vehicle_Number,Vehicle_Type,Rating
D001,Aravind Iyer,KA41QB3973,Cab,4.8
D002,Ramesh Jain,KA05FK6520,Bike,4.6
D003,Lokesh Das,KA50SY6506,Auto,4.1
D004,Dinesh Gowda,KA41AL4754,Bike,4.5
D005,Salman Reddy,KA05PY4823,Cab,4.6
D006,Harish Naik,KA51MY8557,Cab,4.1
D007,Prakash Das,KA04AI6767,Bike,4.7
D008,Harsha Iyer,KA01DT2025,Bike,4.6
D009,Ramesh Gowda,KA50AZ9778,Parcel,4.4
D010,Kiran Nair,KA01KI8741,Parcel,4.1
D011,Mahesh Kulkarni,KA50LA3684,Auto,4.9
D012,Ganesh Gowda,KA03LV4849,Bike,4.8
D013,Manjunath Yadav,KA50RJ3394,Bike,4.9
D014,Rohit Nair,KA41ER6533,Auto,4.6
D015,Naveen Desai,KA50NB3228,Auto,4.5
D016,Amit Bhat,KA51XX8391,Bike,4.4
D017,Amit Rao,KA41QQ3250,Auto,4.4
D018,Suresh Pawar,KA41HS6571,Bike,4.2
D019,Salman Sharma,KA04KI7523,Cab,4.1
D020,Salman Gowda,KA04QG1281,Cab,4.3
D021,Sunil Sharma,KA02TK2372,Bike,4.4
D022,Kiran Naik,KA03ZP9065,Bike,4.8
D023,Amit Singh,KA51KM4672,Bike,4.9
D024,Prakash Mehta,KA01ZZ9101,Auto,4.4
D025,Dinesh Shetty,KA01LO6928,Auto,5
D026,Ganesh Kulkarni,KA41GY8357,Cab,4.4
D027,Shankar Rao,KA50ZB7794,Cab,4.4
D028,Akash Rao,KA50LC5848,Cab,4.2
D029,Akash Yadav,KA41BM1845,Bike,4.6
D030,Yash Shetty,KA51SY6319,Auto,4.3
D031,Tejas Singh,KA51SS6636,Cab,4.3
D032,Varun Yadav,KA05KB3985,Auto,4.2
D033,Harsha Jain,KA03PR1700,Bike,4.5
D034,Nikhil Bhat,KA04TB8592,Auto,4.6
D035,Jagadish Joshi,KA01KX7332,Bike,4.3
D036,Lokesh Singh,KA05FN6859,Cab,4.5
D037,Jagadish Kumar,KA51VF4247,Parcel,4.1
D038,Aravind Rao,KA04JP8657,Auto,4.3
D039,Aravind Gowda,KA02OT9928,Bike,4.6
D040,Shankar Yadav,KA02UM7658,Cab,4.8
D041,Tejas Shetty,KA01SN8143,Bike,4.6
D042,Arjun Jain,KA03GG4953,Cab,5
D043,Vinay Patel,KA02MA1179,Parcel,4.5
D044,Nikhil Pawar,KA01BH8137,Cab,4.7
D045,Harish Joshi,KA02JV6321,Bike,4.3
D046,Arjun Das,KA04NH9364,Bike,4.7
D047,Harsha Nair,KA04MC9141,Parcel,4.9
D048,Rohit Naik,KA51XX2750,Cab,4.2
D049,Varun Bhat,KA01OQ6783,Bike,4.4
D050,Ravi Nair,KA01DQ2554,Auto,4.6
D051,Nikhil Gowda,KA04MF7861,Auto,4.2
D052,Imran Naik,KA01FZ2414,Auto,4.4
D053,Suresh Naik,KA04ON4290,Bike,4.7
D054,Manjunath Reddy,KA03DO2479,Bike,4.2
D055,Karthik Bhat,KA51ZG4918,Parcel,4.3
D056,Harsha Kulkarni,KA03CV1156,Auto,4.4
D057,Vivek Bhat,KA04BB2058,Cab,4.2
D058,Vinay Joshi,KA04ER1013,Bike,4.8
D059,Jagadish Pawar,KA05NR7025,Bike,4.4
D060,Prakash Iyer,KA01TJ6732,Bike,4.4
